source,target,gene_A,gene_B,type_gene_A,type_gene_B,MeanLR
Fibroblast,Fibroblast,PRKCD,E2F4,Receptor,Transcription Factor,2.141465902328491
Fibroblast,Fibroblast,RACK1,E2F4,Receptor,Transcription Factor,2.141465902328491
Fibroblast,Fibroblast,RAF1,E2F4,Receptor,Transcription Factor,2.141465902328491
Fibroblast,Fibroblast,RPS6KA3,E2F4,Receptor,Transcription Factor,2.141465902328491
Fibroblast,Fibroblast,RPS6KB1,E2F4,Receptor,Transcription Factor,2.141465902328491
Fibroblast,Fibroblast,SGK1,E2F4,Receptor,Transcription Factor,2.141465902328491
Fibroblast,Fibroblast,SRC,E2F4,Receptor,Transcription Factor,2.141465902328491
Fibroblast,Fibroblast,MYC,ARF4,Transcription_Factor,Ligand,6.2036237716674805
Fibroblast,Fibroblast,MYC,CXCL2,Transcription_Factor,Ligand,6.2036237716674805
Fibroblast,Fibroblast,MYC,HSPA4,Transcription_Factor,Ligand,6.2036237716674805
Fibroblast,Fibroblast,MYC,HSPA8,Transcription_Factor,Ligand,6.2036237716674805
Fibroblast,Fibroblast,MYC,LAMB2,Transcription_Factor,Ligand,6.2036237716674805
Fibroblast,Fibroblast,MYC,NID1,Transcription_Factor,Ligand,6.2036237716674805
Fibroblast,Fibroblast,MYC,TFRC,Transcription_Factor,Ligand,6.2036237716674805
Fibroblast,Fibroblast,MYC,TGFB1,Transcription_Factor,Ligand,6.2036237716674805
Fibroblast,Fibroblast,MYC,TP53,Transcription_Factor,Ligand,6.2036237716674805
Fibroblast,Fibroblast,MYC,VEGFA,Transcription_Factor,Ligand,6.2036237716674805
Fibroblast,Fibroblast,ABL1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,AKT2,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,AKT3,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,ALK,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,APP,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,ATM,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,AURKA,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,BAMBI,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,BCL2,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,BIRC5,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,BMPR1B,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,BMX,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,BTK,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,CAMK2A,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,CAMK2G,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,CAMKK1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,CAPN1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,CASP1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,CASP3,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,CDK1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,CDK2,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,CDK4,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,CDK5,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,CDK6,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,CDK9,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,CHEK1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,CHEK2,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,CHUK,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,CSK,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,CSNK1A1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,CSNK1G2,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,CSNK2A2,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,CSNK2B,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,DAPK1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,DAPK3,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,DYRK1A,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,EGFR,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,EIF2AK2,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,EPHB1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,ERBB2,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,ERN1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,FES,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,FGFR1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,FGR,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,FZD1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,FZD2,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,FZD3,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,FZD4,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,FZD5,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,FZD6,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,FZD7,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,GNAI2,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,GNAS,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,GSK3A,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,GSK3B,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,HCK,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,HDAC3,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,HDAC4,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,HDAC6,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,HIPK2,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,HMGB1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,HSP90AA1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,HSP90AB1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,IGF1R,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,IKBKB,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,IKBKE,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,ILK,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,INSR,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,IRAK1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,IRAK2,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,ITGB1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,ITK,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,JAK2,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,JAK3,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,KAT2B,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,LATS2,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,LCK,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,LIMK1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,LIMK2,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,LMTK2,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,LPP,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,LRP1B,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,LRP5,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,LRP6,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,LYN,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,MAP2K1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,MAP2K4,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,MAP3K4,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,MAP3K5,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,MAPK1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,MAPK10,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,MAPK11,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,MAPK12,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,MAPK14,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,MAPK3,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,MAPK7,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,MAPK8,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,MAPK9,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,MAPKAPK2,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,MATK,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,MDM2,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,MTOR,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,NLK,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,NRK,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,NTRK1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PADI4,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PAK1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PAK2,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PDGFRA,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PDK1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PDPK1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PIK3CA+PIK3R1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PIK3CA,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PIK3CG,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PIK3R1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PIM1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PKN2,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PLCG1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PLCG2,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PLK1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PLK2,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PRKAA1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PRKAA2,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PRKACA,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PRKCA,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PRKCB,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PRKCD,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PRKCE,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PRKCZ,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PRKD1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PRKD2,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PRKG1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PRMT5,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PRNP,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PTCH1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PTEN,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PTGS2,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PTK2,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PTK2B,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PTPN1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PTPRF,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PTPRG,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PTPRO,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PTPRR,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,PTPRT,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,RACK1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,RAF1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,RET,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,RPS6KA1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,RPS6KA3,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,RPS6KA5,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,RPS6KB1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,RYK,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,SENP1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,SGK1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,SIRT1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,SRC,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,STK38,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,SYK,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,TBK1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,TGFBR1,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,TGFBR2,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,TNK2,MYC,Receptor,Transcription Factor,6.2036237716674805
Fibroblast,Fibroblast,ACVR1,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,ATM,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,BIRC2,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,BIRC3,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,BMPR1A,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,BMPR1B,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,CASP2,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,CD40,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,CDK1,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,CDK2,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,CDK9,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,CHEK1,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,CHUK,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,CSK,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,CSNK1A1,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,CSNK2A2,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,CSNK2B,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,EPHA1,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,ERBB2,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,ERN1,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,FGR,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,GSK3B,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,IKBKB,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,IKBKE,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,IRAK1,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,IRAK2,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,LRRC4,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,LTBR,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,MAP3K1,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,MAP3K14,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,MAP3K5,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,MAP3K7,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,MAP3K8,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,MAP4K2,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,MAP4K3,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,MAP4K5,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,MAPK1,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,MAPK14,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,MAPK9,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,MAPKAPK2,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,MTOR,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,NLRC4,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,PAK1,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,PLK1,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,PLK2,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,PRKCD,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,PRKCI,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,PRKCZ,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,PTK2,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,PTK2B,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,PTPN1,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,RIPK1,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,RIPK3,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,RPS6KB1,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,SGK1,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,SRC,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,TBK1,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,TGFBR1,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,TGFBR2,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,TNFRSF11A,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,TNFRSF14,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,TNIK,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,WNK1,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,XIAP,SMAD5,Receptor,Transcription Factor,9.254475593566895
Fibroblast,Fibroblast,NFKB1,AGER,Transcription_Factor,Ligand,0.23257018625736237
Fibroblast,Fibroblast,NFKB1,CCL3,Transcription_Factor,Ligand,0.23257018625736237
Fibroblast,Fibroblast,NFKB1,CCL5,Transcription_Factor,Ligand,0.23257018625736237
Fibroblast,Fibroblast,NFKB1,CD58,Transcription_Factor,Ligand,0.23257018625736237
Fibroblast,Fibroblast,NFKB1,CXCL2,Transcription_Factor,Ligand,0.23257018625736237
Fibroblast,Fibroblast,NFKB1,IL15RA,Transcription_Factor,Ligand,0.23257018625736237
Fibroblast,Fibroblast,NFKB1,PLAUR,Transcription_Factor,Ligand,0.23257018625736237
Fibroblast,Fibroblast,NFKB1,TNC,Transcription_Factor,Ligand,0.23257018625736237
Fibroblast,Fibroblast,NFKB1,TP53,Transcription_Factor,Ligand,0.23257018625736237
Fibroblast,Fibroblast,NFKB1,VCAM1,Transcription_Factor,Ligand,0.23257018625736237
Fibroblast,Fibroblast,NFKB1,VEGFA,Transcription_Factor,Ligand,0.23257018625736237
Fibroblast,Fibroblast,NFKB1,VWF,Transcription_Factor,Ligand,0.23257018625736237
Fibroblast,Fibroblast,ABL1,NFKB1,Receptor,Transcription Factor,0.23257018625736237
Fibroblast,Fibroblast,ACVR1,NFKB1,Receptor,Transcription Factor,0.23257018625736237
Fibroblast,Fibroblast,AKT2,NFKB1,Receptor,Transcription Factor,0.23257018625736237
Fibroblast,Fibroblast,AKT3,NFKB1,Receptor,Transcription Factor,0.23257018625736237
Fibroblast,Fibroblast,ARRB2,NFKB1,Receptor,Transcription Factor,0.23257018625736237
Fibroblast,Fibroblast,ATM,NFKB1,Receptor,Transcription Factor,0.23257018625736237
Fibroblast,Fibroblast,AURKA,NFKB1,Receptor,Transcription Factor,0.23257018625736237
Fibroblast,Fibroblast,AXL,NFKB1,Receptor,Transcription Factor,0.23257018625736237
Fibroblast,Fibroblast,BCR,NFKB1,Receptor,Transcription Factor,0.23257018625736237
Fibroblast,Fibroblast,BIRC2,NFKB1,Receptor,Transcription Factor,0.23257018625736237
Fibroblast,Fibroblast,BIRC3,NFKB1,Receptor,Transcription Factor,0.23257018625736237
Fibroblast,Fibroblast,BLK,NFKB1,Receptor,Transcription Factor,0.23257018625736237
Fibroblast,Fibroblast,BMPR1B,NFKB1,Receptor,Transcription Factor,0.23257018625736237
Fibroblast,Fibroblast,BTK,NFKB1,Receptor,Transcription Factor,0.23257018625736237
Fibroblast,Fibroblast,CAMK2A,NFKB1,Receptor,Transcription Factor,0.23257018625736237
