cluster_py,gene,scores,logfoldchanges,pvals,pvals_adj,tag,gene_r,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster_r
Neural,HBP1,6.6844068,2.9650033,2.3186163003177803e-11,8.323832518140832e-09,***,HBP1,2.3331531463537097e-11,1.4016108161872,0.938,0.641,8.37601979540983e-09,Neural
Neural,MSX2,6.6660986,2.17473,2.626929065553535e-11,9.430675345337193e-09,***,MSX2,4.40719349927061e-06,1.65542894957468,0.245,0.536,0.0015821824662381,MSC
Neural,NEUROD1,6.4482284,3.4235907,1.1316524498901406e-10,4.062632295105605e-08,***,NEUROD1,1.1385063490177101e-10,0.507110848307115,0.875,0.466,4.08723779297358e-08,Neural
Neural,EPAS1,5.615195,4.2136855,1.9634093129480483e-08,7.048639433483492e-06,***,EPAS1,1.97383094258656e-08,1.43202718536582,0.812,0.458,7.08605308388576e-06,Neural
Neural,MXI1,5.4906974,1.8579156,4.0034956597395576e-08,1.4372549418465009e-05,***,MXI1,4.02429982536632e-08,0.730876443582062,0.902,0.664,1.44472363730651e-05,Neural
Neural,DEAF1,5.4906974,2.1143746,4.0034956597395576e-08,1.4372549418465009e-05,***,DEAF1,4.02429982536632e-08,1.37034052258205,0.839,0.641,1.44472363730651e-05,Neural
Neural,ZNF318,5.437603,1.5489675,5.400212005701384e-08,1.938676110046797e-05,***,ZNF318,5.42801781359903e-08,1.75226139148566,0.991,0.962,1.94865839508205e-05,Neural
Neural,PAX3,5.2435336,3.33926,1.5753001233254858e-07,5.655327442738493e-05,***,PAX3,1.58313834100934e-07,1.92572270069101,0.473,0.252,5.68346664422351e-05,Neural
Neural,MYNN,5.043972,1.8667037,4.5596641726913545e-07,0.0001636919437996,***,MYNN,4.58154075894104e-07,0.888983930816869,0.893,0.649,0.0001644773132459,Neural
Neural,CEBPD,4.7583604,1.4480734,1.9517182499542698e-06,0.0007006668517335,***,CEBPD,1.9605869683462e-06,0.559814809114675,0.973,0.885,0.0007038507216362,Neural
Neural,ZNF83,4.716251,1.841262,2.40230058278164e-06,0.0008624259092186,***,ZNF83,2.41312707413133e-06,2.45339643603795,0.839,0.679,0.0008663126196131,Neural
Neural,STAT5A,4.527674,1.2729113,5.963643819015549e-06,0.0021409481310265,**,STAT5A,5.98952470233935e-06,2.21910239103402,0.973,0.962,0.0021502393681398,Neural
Neural,MYCN,4.4544406,3.430037,8.411226109048666e-06,0.0030196301731484,**,MYCN,8.44718469379015e-06,1.69247590934593,0.759,0.542,0.0030325393050706,Neural
Neural,BHLHE40,4.253048,1.6663493,2.108805706337027e-05,0.0075706124857499,**,BHLHE40,2.1174465724751e-05,1.13803422849121,0.839,0.641,0.0076016331951855,Neural
Neural,TFDP1,4.176152,1.2206218,2.9648126356999657e-05,0.0106436773621628,*,TFDP1,2.97676048097659e-05,0.310569611853122,0.982,0.863,0.010686570126706,Neural
Neural,ZNF584,4.0077147,3.0305731,6.130908359370617e-05,0.0220099610101405,*,ZNF584,6.15470891718049e-05,0.916476777882061,0.723,0.458,0.022095405012678,Neural
Neural,FOXJ2,3.9564512,2.365845,7.607140726086618e-05,0.0273096352066509,*,FOXJ2,7.63633058765828e-05,1.95755026563174,0.741,0.557,0.0274144268096932,Neural
MSC,E2F7,8.989049,5.2506595,2.493791693150719e-19,8.952712178411081e-17,***,E2F7,2.51972633255208e-19,6.32899295633692,1.0,0.959,9.045817533861951e-17,MSC
MSC,SRF,8.697906,5.895836,3.380656653249696e-18,1.2136557385166406e-15,***,SRF,3.41469703657238e-18,3.33125365926691,0.98,0.598,1.22587623612949e-15,MSC
MSC,SRF,8.697906,5.895836,3.380656653249696e-18,1.2136557385166406e-15,***,SRF1,1.8288223978681e-05,0.395099683493388,0.933,0.638,0.0065654724083464,Megakaryocyte
MSC,STAT3,8.659238,6.0165668,4.749278590038724e-18,1.704991013823902e-15,***,STAT3,4.79689149955699e-18,4.70796603016405,0.98,0.582,1.72208404834096e-15,MSC
MSC,ATF2,8.295309,4.8912725,1.0830330975579312e-16,3.888088820232973e-14,***,ATF2,1.0934439944292599e-16,5.41620916427418,1.0,0.985,3.9254639400010603e-14,MSC
MSC,ETV4,7.960949,4.7517924,1.7072456052652485e-15,6.129011722902242e-13,***,ETV4,1.72301068965736e-15,2.30332140320473,0.98,0.505,6.18560837586992e-13,MSC
MSC,NR1H2,7.6220403,2.8562243,2.4969731796122352e-14,8.964133714807923e-12,***,NR1H2,2.51907427200341e-14,3.32861437183911,1.0,0.902,9.04347663649224e-12,MSC
MSC,FOXM1,7.556078,4.7905912,4.1540476079565036e-14,1.4913030912563844e-11,***,FOXM1,4.19050630849428e-14,3.26073927162045,0.878,0.552,1.5043917647494498e-11,MSC
MSC,TP53,7.444625,6.581503,9.722038601353921e-14,3.490211857886058e-11,***,TP53,9.806142715156991e-14,3.5528994983916,0.898,0.536,3.5204052347413594e-11,MSC
MSC,SP1,7.2717586,3.022773,3.548378238408893e-13,1.2738677875887922e-10,***,SP1,3.57838298173307e-13,3.31841731345687,0.959,0.835,1.28463949044217e-10,MSC
MSC,ELK4,6.891907,4.310749,5.504920700233637e-12,1.9762665313838755e-09,***,ELK4,5.54911498243564e-12,3.28735059057229,0.959,0.881,1.99213227869439e-09,MSC
MSC,FOXL2,6.841867,6.1449223,7.816756755847195e-12,2.806215675349143e-09,***,FOXL2,7.879070853979e-12,4.84999132084806,0.776,0.268,2.8285864365784604e-09,MSC
MSC,ESR2,6.5939403,3.0765355,4.283035828663852e-11,1.5376098624903232e-08,***,ESR2,4.31598641880836e-11,3.08417326479449,0.959,0.871,1.5494391243522e-08,MSC
MSC,ESR2,6.5939403,3.0765355,4.283035828663852e-11,1.5376098624903232e-08,***,ESR21,0.0001184708036479,0.670628126179611,1.0,0.873,0.0425310185096025,Megakaryocyte
MSC,ELK1,6.514331,3.2147834,7.301435734868256e-11,2.6212154288177043e-08,***,ELK1,7.356955287314229e-11,2.77492507680791,1.0,0.974,2.64114694814581e-08,MSC
MSC,NFKB1,6.423349,2.9832516,1.3330866159178347e-10,4.7857809511450265e-08,***,NFKB1,1.3430872463169e-10,2.55039798859114,0.939,0.68,4.82168321427768e-08,MSC
MSC,CREB1,6.3869557,4.1363144,1.6922056109141932e-10,6.075018143181953e-08,***,CREB1,1.70483124933476e-10,3.06167039933383,0.918,0.567,6.1203441851118e-08,MSC
MSC,TWIST2,6.375583,4.3777404,1.8226826672425463e-10,6.543430775400741e-08,***,TWIST2,1.83625856325602e-10,2.47577301379334,0.796,0.309,6.59216824208911e-08,MSC
MSC,TWIST2,6.375583,4.3777404,1.8226826672425463e-10,6.543430775400741e-08,***,TWIST21,0.0001225609020388,0.0022319583039989,0.2,0.437,0.0439993638319319,Megakaryocyte
MSC,STAT6,6.330092,3.825114,2.450153149479011e-10,8.796049806629648e-08,***,STAT6,2.4682777067147e-10,3.09856875082018,0.959,0.763,8.86111696710578e-08,MSC
MSC,MAZ,6.3278174,5.418135,2.4865331912053384e-10,8.926654156427166e-08,***,MAZ,2.50492052495435e-10,3.45526845269066,0.898,0.51,8.9926646845861e-08,MSC
MSC,CUX1,5.9775357,3.3747084,2.265385385286294e-09,8.132733533177797e-07,***,CUX1,2.2812493135239104e-09,2.7525536814512,0.898,0.582,8.18968503555083e-07,MSC
MSC,SP4,5.947966,2.4050915,2.714944971122948e-09,9.746652446331384e-07,***,SP4,2.73386734537678e-09,2.55154128574073,1.0,0.964,9.81458376990264e-07,MSC
MSC,FOXP1,5.9161224,3.3806906,3.296197796290194e-09,1.1833350088681797e-06,***,FOXP1,3.3190540720835205e-09,2.38811619427029,0.959,0.608,1.19154041187798e-06,MSC
MSC,ZHX1,5.665921,2.5721028,1.4623669869434045e-08,5.249897483126822e-06,***,ZHX1,1.47209898441989e-08,2.8706296479947,0.918,0.716,5.28483535406739e-06,MSC
MSC,HSF2,5.552193,1.9020195,2.8210725407962833e-08,1.0127650421458656e-05,***,HSF2,2.83948928801765e-08,1.46846769260464,0.98,0.99,1.01937665439834e-05,MSC
MSC,NFYC,5.4088964,2.93725,6.34143330956541e-08,2.276574558133982e-05,***,NFYC,6.38182099626918e-08,1.94149151815344,0.776,0.443,2.29107373766064e-05,MSC
MSC,AR,5.0654383,3.291532,4.0746193628230163e-07,0.0001462788351253,***,AR,4.09901713521212e-07,1.1838607366009,0.837,0.552,0.0001471547151541,MSC
MSC,SNAI1,4.9107685,2.865509,9.072021520179036e-07,0.0003256855725744,***,SNAI1,9.12478994926138e-07,3.32365829294204,0.694,0.304,0.0003275799591784,MSC
MSC,SP3,4.726529,2.796178,2.2838992772600964e-06,0.0008199198405363,***,SP3,2.29671928019557e-06,2.98931820739287,0.878,0.624,0.0008245222215902,MSC
MSC,RARG,4.712882,1.673163,2.442377747647974e-06,0.0008768136114056,***,RARG,6.38411046665164e-10,4.17886986230954,0.913,0.627,2.29189565752794e-07,Myeloid
MSC,RELA,4.6946855,3.9248588,2.6701729690350557e-06,0.0009585920958835,***,RELA,2.68506747143167e-06,3.06588523659742,0.755,0.562,0.0009639392222439,MSC
MSC,WT1,4.135144,1.1720556,3.5473145366147726e-05,0.012734859186447,*,WT1,3.56492361426924e-05,0.731004835667335,0.898,0.82,0.0127980757752266,MSC
MSC,BCL11A,4.116948,1.7186297,3.839226807282214e-05,0.0137828242381431,*,BCL11A,3.85820866383162e-05,1.05448884619068,0.939,0.722,0.0138509691031555,MSC
MSC,ZNF740,4.1078496,4.00626,3.9935974355847846e-05,0.0143370147937493,*,ZNF740,4.01330286037069e-05,2.23556684596568,0.755,0.515,0.0144077572687308,MSC
MSC,FOSB,4.0441623,3.3349009,5.251056644814328e-05,0.0188512933548834,*,FOSB,5.27660182696653e-05,3.23881034370615,0.653,0.299,0.0189430005588098,MSC
MSC,FOXF2,3.9827492,3.8488288,6.81226552106318e-05,0.0244560332206168,*,FOXF2,6.84494973743876e-05,3.8650767626056,0.837,0.928,0.0245733695574052,MSC
MSC,YY1,3.9782,3.0543375,6.943894929033073e-05,0.0249285827952287,*,YY1,6.97717628384899e-05,1.45910776362374,0.796,0.572,0.0250480628590179,MSC
MSC,NFATC1,3.8462758,1.3946619,0.0001199268084483,0.0430537242329458,*,NFATC1,0.0001204843999319,0.470210872559725,0.918,0.711,0.0432538995755794,MSC
MSC,NFATC1,3.8462758,1.3946619,0.0001199268084483,0.0430537242329458,*,NFATC11,5.70477413881168e-08,2.5603146040221,1.0,0.718,2.04801391583339e-05,Megakaryocyte
MSC,CXXC4,3.818981,1.2713473,0.0001340040666735,0.0481074599358087,*,CXXC4,0.0001346231385788,0.712456915814311,0.939,0.83,0.0483297067497962,MSC
Fibroblast,E2F4,4.4647074,2.6531143,8.017822918593196e-06,0.0028783984277749,**,E2F4,8.07069617771004e-06,2.35549446304944,0.897,0.724,0.0028973799277979,Fibroblast
Fibroblast,HMBOX1,-3.8707268,3.634777,0.0001085113364554,0.0389555697875207,*,HMBOX1,1.24553159365091e-15,8.27006217608301,0.652,0.275,4.47145842120677e-13,Neural
Fibroblast,FOS,-4.1691246,2.0198972,3.057716990996306e-05,0.0109772039976767,*,FOS,1.2756679020174199e-11,1.73907866277886,0.616,0.29,4.57964776824253e-09,Neural
Megakaryocyte,DNMT1,5.9008255,2.4110494,3.6168732587435372e-09,1.29845749988893e-06,***,DNMT1,3.64741002413052e-09,1.89339128861761,0.967,0.859,1.30942019866286e-06,Megakaryocyte
Megakaryocyte,DNMT1,5.9008255,2.4110494,3.6168732587435372e-09,1.29845749988893e-06,***,DNMT11,1.80078735252126e-05,0.983246135543673,1.0,0.859,0.0064648265955513,Myeloid
Megakaryocyte,ZBED1,5.5207534,3.441734,3.3754901333668544e-08,1.2118009578787004e-05,***,ZBED1,3.4022417091704e-08,1.95381531708574,1.0,1.0,1.22140477359217e-05,Megakaryocyte
Megakaryocyte,NFATC1,5.4292035,2.7656944,5.660616537401597e-08,2.032161336927173e-05,***,NFATC1,0.0001204843999319,0.470210872559725,0.918,0.711,0.0432538995755794,MSC
Megakaryocyte,NFATC1,5.4292035,2.7656944,5.660616537401597e-08,2.032161336927173e-05,***,NFATC11,5.70477413881168e-08,2.5603146040221,1.0,0.718,2.04801391583339e-05,Megakaryocyte
Megakaryocyte,SMAD5,5.104616,4.8198066,3.314663557162182e-07,0.0001189964217021,***,SMAD51,3.33906214205171e-07,3.2151652073622,1.0,1.0,0.0001198723308996,Megakaryocyte
Megakaryocyte,PAX6,5.068551,2.132529,4.0085540058089773e-07,0.0001439070888085,***,PAX61,4.03786459543823e-07,0.0086899734936354,1.0,0.995,0.0001449593389762,Megakaryocyte
Megakaryocyte,NFIA,5.0130663,4.11849,5.356947662506036e-07,0.0001923144210839,***,NFIA,5.39571582702568e-07,2.70480533938984,0.833,0.286,0.0001937061981902,Megakaryocyte
Megakaryocyte,ETS1,4.913193,2.5961125,8.960490158849337e-07,0.0003216815967026,***,ETS1,9.02412825904685e-07,2.88309013008694,0.967,0.84,0.0003239662044997,Megakaryocyte
Megakaryocyte,VDR,4.74119,1.7675033,2.1246674783802366e-06,0.0007627556247385,***,VDR,2.13926425995601e-06,1.5827670491303,1.0,0.995,0.0007679958693242,Megakaryocyte
Megakaryocyte,SIX5,4.4665394,1.7572033,7.949507503615399e-06,0.0028538731937979,**,SIX51,8.00118716520337e-06,1.20444235975317,1.0,0.958,0.002872426192308,Megakaryocyte
Megakaryocyte,SRF,4.286213,2.8905556,1.81744613517426e-05,0.0065246316252755,**,SRF,3.41469703657238e-18,3.33125365926691,0.98,0.598,1.22587623612949e-15,MSC
Megakaryocyte,SRF,4.286213,2.8905556,1.81744613517426e-05,0.0065246316252755,**,SRF1,1.8288223978681e-05,0.395099683493388,0.933,0.638,0.0065654724083464,Megakaryocyte
Megakaryocyte,ZFX,4.191889,1.7681183,2.766416902960129e-05,0.0099314366816268,**,ZFX,2.78338456927894e-05,1.46605658485193,1.0,0.962,0.0099923506037114,Megakaryocyte
Megakaryocyte,KLF5,4.172469,2.397942,3.0131662698937382e-05,0.0108172669089185,*,KLF5,3.03156925488027e-05,2.87467296172486,0.9,0.836,0.0108833336250202,Megakaryocyte
Megakaryocyte,ZNF207,4.1530495,2.141635,3.280740978670941e-05,0.0117778601134286,*,ZNF207,3.30069317203078e-05,1.70722535909282,0.933,0.709,0.0118494884875905,Megakaryocyte
Megakaryocyte,TEAD2,4.036531,1.5598748,5.424739939383284e-05,0.0194748163823859,*,TEAD2,5.45688878806799e-05,1.31062655868089,1.0,0.887,0.0195902307491641,Megakaryocyte
Megakaryocyte,ESR2,3.8506563,1.7498636,0.0001178017617875,0.0422908324817137,*,ESR2,4.31598641880836e-11,3.08417326479449,0.959,0.871,1.5494391243522e-08,MSC
Megakaryocyte,ESR2,3.8506563,1.7498636,0.0001178017617875,0.0422908324817137,*,ESR21,0.0001184708036479,0.670628126179611,1.0,0.873,0.0425310185096025,Megakaryocyte
Megakaryocyte,LEF1,-4.350021,1.2304235,1.3612458485205193e-05,0.0048868725961886,**,LEF1,9.43644593809535e-06,4.85230788632547,0.51,0.216,0.0033876840917762,MSC
Megakaryocyte,HMBOX1,-4.688479,4.77575,2.752430050806986e-06,0.0009881223882397,***,HMBOX1,1.24553159365091e-15,8.27006217608301,0.652,0.275,4.47145842120677e-13,Neural
Megakaryocyte,KLF3,-4.7051244,4.4355564,2.537109538047952e-06,0.0009108223241592,***,KLF3,1.72652943912187e-13,7.69536855639126,0.796,0.299,6.198240686447509e-11,MSC
Megakaryocyte,MYBL2,-4.8937736,3.7323208,9.892069956195591e-07,0.0003551253114274,***,MYBL2,7.37690304386107e-15,6.92758944823692,0.837,0.284,2.64830819274612e-12,MSC
Megakaryocyte,GLYR1,-5.8453407,0.78355753,5.0553304623747765e-09,1.8148636359925448e-06,***,GLYR1,1.04834447269825e-05,0.845927019149703,0.49,0.16,0.0037635566569867,MSC
Myeloid,RARG,6.182202,5.963479,6.321371084697843e-10,2.269372219406526e-07,***,RARG,6.38411046665164e-10,4.17886986230954,0.913,0.627,2.29189565752794e-07,Myeloid
Myeloid,RARB,5.804972,4.63429,6.4376767360667835e-09,2.311125948247975e-06,***,RARB,6.49784039201652e-09,3.45964721039639,0.913,0.618,2.33272470073393e-06,Myeloid
Myeloid,DNMT1,4.2898183,1.8434774,1.788194549294991e-05,0.006419618431969,**,DNMT1,3.64741002413052e-09,1.89339128861761,0.967,0.859,1.30942019866286e-06,Megakaryocyte
Myeloid,DNMT1,4.2898183,1.8434774,1.788194549294991e-05,0.006419618431969,**,DNMT11,1.80078735252126e-05,0.983246135543673,1.0,0.859,0.0064648265955513,Myeloid
Myeloid,MNT,-3.9375293,4.264629,8.232487137569902e-05,0.0295546288238759,*,MNT,3.78162434941626e-06,2.66205406080273,0.653,0.371,0.0013576031414404,MSC
Myeloid,TFAP2A,-4.009234,1.9153234,6.091599298574384e-05,0.021868841481882,*,TFAP2A,3.48255882835418e-12,6.91900954372139,0.735,0.273,1.2502386193791502e-09,MSC
Myeloid,GLYR1,-4.311641,0.6108973,1.620471063002051e-05,0.0058174911161773,**,GLYR1,1.04834447269825e-05,0.845927019149703,0.49,0.16,0.0037635566569867,MSC
Myeloid,KLF6,-4.595343,1.5210118,4.320379474404003e-06,0.001551016231311,**,KLF6,6.00854117859723e-10,3.83344317833193,0.694,0.247,2.15706628311641e-07,MSC
Myeloid,PRDM1,-4.6514597,2.2202086,3.2959348541613514e-06,0.0011832406126439,**,PRDM1,0.000130482576671,2.52654028795019,0.491,0.321,0.0468432450249038,Neural
Myeloid,PRDM1,-4.6514597,2.2202086,3.2959348541613514e-06,0.0011832406126439,**,PRDM11,1.31909225899812e-05,3.90455503255353,0.653,0.335,0.0047355412098032,MSC
Myeloid,ATF3,-4.7106943,3.7450724,2.468743857549941e-06,0.0008862790448604,***,ATF3,1.42351576878788e-07,1.25760756012843,0.735,0.335,5.11042160994851e-05,MSC
Myeloid,KLF3,-4.9039855,3.4773846,9.391144293064696e-07,0.000337142080121,***,KLF3,1.72652943912187e-13,7.69536855639126,0.796,0.299,6.198240686447509e-11,MSC
Myeloid,FLI1,-5.0598655,2.044138,4.1955235620617035e-07,0.000150619295878,***,FLI1,4.21900483386798e-06,2.89934988731758,0.673,0.309,0.0015146227353586,MSC
Myeloid,HMBOX1,-5.27498,4.0207944,1.3277062996505356e-07,4.766465615745422e-05,***,HMBOX1,1.24553159365091e-15,8.27006217608301,0.652,0.275,4.47145842120677e-13,Neural
Myeloid,MYBL2,-5.384096,3.4765975,7.28096682567542e-08,2.613867090417476e-05,***,MYBL2,7.37690304386107e-15,6.92758944823692,0.837,0.284,2.64830819274612e-12,MSC
Myeloid,FOS,-6.746487,2.9370875,1.514673066539001e-11,5.437676308875014e-09,***,FOS,1.2756679020174199e-11,1.73907866277886,0.616,0.29,4.57964776824253e-09,Neural
Neural,EGR2,7.535749,1.6570281,4.855402358110914e-14,1.743089446561818e-11,***,,,,,,,
Neural,FOXO4,4.17066,4.5607576,3.037189316853072e-05,0.0109035096475025,*,,,,,,,
Neural,BACH1,4.17066,1.170537,3.037189316853072e-05,0.0109035096475025,*,,,,,,,
Neural,KLF13,3.9326503,1.1032442,8.401442245132288e-05,0.0301611776600249,*,,,,,,,
Neural,KDM5B,-3.8630784,2.1602206,0.0001119671191676,0.0401961957811836,*,,,,,,,
Neural,SNAI2,-3.879556,0.70362973,0.0001046473757261,0.0375684078856785,*,,,,,,,
Neural,POU2F2,-4.110242,0.5696413,3.952446190720434e-05,0.0141892818246863,*,,,,,,,
Neural,CBX2,-4.3830376,0.43167794,1.1703590137850931e-05,0.0042015888594884,**,,,,,,,
Neural,HNF1B,-5.6206875,1.3280853,1.9019923768979863e-08,6.828152633063771e-06,***,,,,,,,
Neural,CDX2,-5.9246073,1.6350899,3.1304470385714158e-09,1.1238304868471382e-06,***,,,,,,,
Neural,PROX1,-7.3728037,2.638565,1.6707621660682041e-13,5.998036176184852e-11,***,,,,,,,
MSC,JUND,5.5317225,3.4179225,3.171015240630778e-08,1.1383944713864494e-05,***,,,,,,,
Fibroblast,MAF,-3.8256857,2.1698658,0.0001304086170382,0.0468166935167431,*,,,,,,,
Fibroblast,TAL1,-4.0030355,0.31995678,6.253496531962546e-05,0.0224500525497455,*,,,,,,,
Fibroblast,FOXA1,-4.0340014,0.17696385,5.483505579321908e-05,0.0196857850297656,*,,,,,,,
Fibroblast,TFAP2C,-4.1888304,0.22700186,2.8039610395588285e-05,0.0100662201320161,*,,,,,,,
Fibroblast,HNF4A,-4.2789125,0.33075216,1.8780861565401043e-05,0.0067423293019789,**,,,,,,,
Fibroblast,CEBPA,-5.444353,1.4649606,5.199395555242495e-08,1.866583004332056e-05,***,,,,,,,
Megakaryocyte,REL,6.2281866,4.407355,4.718644165732161e-10,1.6939932554978466e-07,***,,,,,,,
Megakaryocyte,TCF7L2,-3.8423336,0.97935903,0.0001218700993461,0.0437513656652681,*,,,,,,,
Megakaryocyte,PDX1,-3.90198,0.26273277,9.540911953382692e-05,0.0342518739126438,*,,,,,,,
Megakaryocyte,POU5F1,-3.9116898,0.38775975,9.165263405603986e-05,0.0329032956261183,*,,,,,,,
Megakaryocyte,GATA3,-3.914464,0.12311598,9.060528399131432e-05,0.0325272969528818,*,,,,,,,
Megakaryocyte,SOX2,-3.925561,0.1337296,8.652786966029145e-05,0.0310635052080446,*,,,,,,,
Megakaryocyte,TFAP2C,-3.9588518,0.22757849,7.531091998954401e-05,0.0270366202762463,*,,,,,,,
Megakaryocyte,GATA4,-3.9976914,0.67968607,6.396327663738952e-05,0.0229628163128228,*,,,,,,,
Megakaryocyte,DUX4,-4.0171113,0.46039492,5.891595309987535e-05,0.0211508271628552,*,,,,,,,
Megakaryocyte,SOX4,-4.0670476,0.5290564,4.761252858641502e-05,0.0170928977625229,*,,,,,,,
Megakaryocyte,PAX8,-4.072596,0.36355913,4.649201626187549e-05,0.0166906338380133,*,,,,,,,
Megakaryocyte,SOX11,-4.128081,0.3703013,3.65803240714989e-05,0.0131323363416681,*,,,,,,,
Megakaryocyte,CEBPA,-4.194663,1.2740363,2.732776157439848e-05,0.009810666405209,**,,,,,,,
Megakaryocyte,MBD2,-4.2335024,0.9210105,2.300796852071117e-05,0.0082598606989353,**,,,,,,,
Megakaryocyte,NME2,-4.566412,0.43651667,4.961427068327499e-06,0.0017811523175295,**,,,,,,,
Megakaryocyte,AHR,-4.6024776,1.2433877,4.174948317066183e-06,0.0014988064458267,**,,,,,,,
Megakaryocyte,E2F1,-4.621897,0.7099171,3.802465170853354e-06,0.0013650849963363,**,,,,,,,
Megakaryocyte,KMT2A,-4.666285,1.2389952,3.066940458744268e-06,0.0011010316246891,**,,,,,,,
Megakaryocyte,NANOG,-4.824417,0.940815,1.4041318847418372e-06,0.0005040833466223,***,,,,,,,
Megakaryocyte,OTX2,-4.8909993,0.45216802,1.0032536498629062e-06,0.0003601680603007,***,,,,,,,
Megakaryocyte,RUNX2,-4.9631295,0.6915036,6.936623952181803e-07,0.0002490247998833,***,,,,,,,
Megakaryocyte,TWIST1,-5.0047436,1.0666599,5.593649767566976e-07,0.0002008120266556,***,,,,,,,
Megakaryocyte,POU4F2,-5.043583,0.43375686,4.568947915099113e-07,0.000164025230152,***,,,,,,,
Megakaryocyte,ONECUT1,-5.1490045,0.3865802,2.618729096252839e-07,9.401237455547692e-05,***,,,,,,,
Megakaryocyte,SETDB1,-5.3432016,0.41005242,9.13190836926188e-08,3.278355104565015e-05,***,,,,,,,
Megakaryocyte,FOXA1,-5.5235276,0.21947585,3.3225977164961796e-08,1.1928125802221284e-05,***,,,,,,,
Megakaryocyte,HOXB13,-6.020118,0.3487865,1.742898054038079e-09,6.257004013996705e-07,***,,,,,,,
Myeloid,TCF7,-3.8408837,7.192592,0.0001225921793158,0.044010592374401,*,,,,,,,
Myeloid,ZBTB11,-3.8907654,2.5187182,9.99285427042381e-05,0.0358743468308214,*,,,,,,,
Myeloid,SOX10,-3.9749405,0.7136866,7.03968425555883e-05,0.0252724664774561,*,,,,,,,
Myeloid,NANOG,-3.9811757,0.7425076,6.857522393053443e-05,0.0246185053910618,*,,,,,,,
Myeloid,FOSL2,-4.1526437,0.73134226,3.2865615654535684e-05,0.0117987560199783,*,,,,,,,
Myeloid,TCF7L2,-4.1557612,0.9372633,3.24206086866086e-05,0.0116389985184924,*,,,,,,,
Myeloid,GRHL2,-4.174467,0.62137294,2.986845562903411e-05,0.0107227755708232,*,,,,,,,
